number,value,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_solver,user_attrs_accuracy,user_attrs_auc_roc,user_attrs_f1,user_attrs_precision,user_attrs_recall
0,0.7337352496036377,45.97408608240971,balanced,0.1742745725533722,1000,saga,0.7004504504504504,0.7337352496036377,0.5007507507507507,0.39868499701135685,0.6730575176589304
1,0.7365190746875547,0.01866234372205399,balanced,0.9514923330443845,800,saga,0.7045045045045045,0.7365190746875547,0.5015197568389058,0.40219378427787933,0.6659939455095862
2,0.733660058532007,0.10656049890170363,balanced,0.7076908384568351,1400,lbfgs,0.6995495495495495,0.733660058532007,0.5,0.3977340488968396,0.6730575176589304
3,0.7344862826031558,0.02639475090570141,,0.6015900826466073,1000,saga,0.7948198198198199,0.7344862826031558,0.2414654454621149,0.6904761904761905,0.14631685166498487
4,0.7339128409673727,0.028833286963614233,balanced,0.20586728255943332,700,lbfgs,0.6997747747747748,0.7339128409673727,0.5001874765654293,0.3979713603818616,0.6730575176589304
5,0.7328996632200678,0.17095479216785575,,0.0584935722125689,1500,saga,0.7961711711711712,0.7328996632200678,0.2612244897959184,0.6837606837606838,0.16145307769929365
6,0.7328475853572264,12.826273800009137,,0.31267387617178644,1400,saga,0.7963963963963964,0.7328475853572264,0.2626427406199021,0.6851063829787234,0.16246215943491424
7,0.7328464150681737,21.883528664584155,,0.2628625093418936,600,lbfgs,0.7963963963963964,0.7328464150681737,0.26504065040650404,0.6820083682008368,0.16448032290615539
8,0.7328484630740157,2.1166932624668693,,0.18397951242127775,1400,saga,0.7963963963963964,0.7328484630740157,0.2626427406199021,0.6851063829787234,0.16246215943491424
9,0.7328894231908575,0.07809081792072503,,0.3170700606049336,800,lbfgs,0.7963963963963964,0.7328894231908575,0.2626427406199021,0.6851063829787234,0.16246215943491424
10,0.7319607988276045,0.00017732790964178344,,0.8263081743630609,1100,lbfgs,0.7837837837837838,0.7319607988276045,0.1044776119402985,0.691358024691358,0.056508577194752774
11,0.7341682565531067,0.0589101481224065,balanced,0.9080759251628472,1200,saga,0.7027027027027027,0.7341682565531067,0.502262443438914,0.40096327513546054,0.6720484359233098
12,0.7328268127265423,75.47290686621486,,0.3859134854625056,1900,saga,0.7961711711711712,0.7328268127265423,0.2624286878565607,0.6822033898305084,0.16246215943491424
13,0.5,0.00013008238563655901,,0.8581582656243114,1900,saga,0.7768018018018018,0.5,0.0,0.0,0.0
14,0.7328490482185421,7.832692118624299,,0.25482192389920166,2000,lbfgs,0.7963963963963964,0.7328490482185421,0.26504065040650404,0.6820083682008368,0.16448032290615539
15,0.7364157966786613,0.0060763074443902255,balanced,0.2518814130980487,1500,saga,0.7045045045045045,0.7364157966786613,0.5018982536066818,0.4023128423615338,0.6670030272452069
16,0.7335482959274818,0.4612456562105305,balanced,0.3213914890629832,900,lbfgs,0.7009009009009008,0.7335482959274818,0.5015015015015015,0.3992827256425583,0.6740665993945509
17,0.7387317987137938,0.00367305895148685,balanced,0.5746342525651014,1400,saga,0.7236486486486486,0.7387317987137938,0.5152113789016199,0.42337662337662335,0.6579212916246215
18,0.7388517533416872,0.0033360208221551372,balanced,0.5610564117943433,1400,saga,0.7265765765765766,0.7388517533416872,0.51671974522293,0.4266929651545036,0.6548940464177598
19,0.738652804202742,0.0036624795342214255,,0.6217203736451293,1500,saga,0.7876126126126126,0.738652804202742,0.16326530612244897,0.6764705882352942,0.09283551967709384
20,0.7354740065635661,0.0022210004049222597,balanced,0.005554571461685476,1600,saga,0.7040540540540541,0.7354740065635661,0.5034013605442177,0.402416918429003,0.6720484359233098
21,0.738953275917002,0.00261983427383026,balanced,0.4960133018599032,1700,saga,0.7308558558558559,0.738953275917002,0.5191146881287726,0.43172690763052207,0.6508577194752775
22,0.7386775265589787,0.0016401549167664926,balanced,0.4945695354598154,1600,saga,0.7308558558558559,0.7386775265589787,0.517561566410981,0.4313593539703903,0.6468213925327951
23,0.7390237858324222,0.0018351592893951743,balanced,0.4790125143972436,1600,saga,0.7308558558558559,0.7390237858324222,0.517561566410981,0.4313593539703903,0.6468213925327951
24,0.7383498456242453,0.0014547680865643704,balanced,0.4744354892928867,1700,saga,0.731081081081081,0.7383498456242453,0.5181598062953995,0.4317417619367855,0.6478304742684158
25,0.7389711228250544,0.0024684882621578636,balanced,0.47133154691992285,1700,saga,0.7315315315315315,0.7389711228250544,0.5197421434327155,0.43259557344064387,0.6508577194752775
26,0.7386977140451363,0.0017198617259162675,balanced,0.5171805612503592,1700,saga,0.7308558558558559,0.7386977140451363,0.517561566410981,0.4313593539703903,0.6468213925327951
27,0.7388077212160824,0.0016089516703021568,balanced,0.4546758223143256,1700,saga,0.7308558558558559,0.7388077212160824,0.517561566410981,0.4313593539703903,0.6468213925327951
28,0.7376465019036215,0.0006018743437918841,balanced,0.4601196759057616,1700,saga,0.7297297297297297,0.7376465019036215,0.5169082125603864,0.43000669792364365,0.6478304742684158
29,0.7377208152584628,0.0008030912157103012,balanced,0.45428247722871395,1700,saga,0.7301801801801802,0.7377208152584628,0.5173247381144238,0.4305835010060362,0.6478304742684158
30,0.7376801477138841,0.0006606097933309937,balanced,0.4611997099727666,1700,saga,0.729954954954955,0.7376801477138841,0.5171163914619412,0.43029490616621985,0.6478304742684158
31,0.7377123306628312,0.0007515660471272086,balanced,0.44769520011623726,1800,saga,0.7301801801801802,0.7377123306628312,0.5173247381144238,0.4305835010060362,0.6478304742684158
32,0.7377111603737786,0.000876830714354422,balanced,0.45037387930971223,1700,saga,0.7306306306306306,0.7377111603737786,0.5177419354838709,0.43116185359301545,0.6478304742684158
33,0.7374381904522552,0.0004311443688729214,balanced,0.4327979170729105,1800,saga,0.7295045045045045,0.7374381904522552,0.5167002012072435,0.42971887550200805,0.6478304742684158
34,0.7374355573018868,0.000432775943164207,balanced,0.4355740835462135,1800,saga,0.7292792792792793,0.7374355573018868,0.5164923572003218,0.4294314381270903,0.6478304742684158
